Title,Links,Description
Украина,/2024/05/04/ukraine-russian-strikes-saturday,"Харьков в огне после ударов БПЛА, ВСУ атаковали Крым ракетами ATACMS, ВС РФ штурмуют Часов Яр"
Газа,/2024/05/04/gaza-update-saturday,Соглашение между Израилем и ХАМАС неизбежно - арабские СМИ
Грузия,/2024/05/04/georgia-law-protest,"Тбилиси: тысячи протестующих против ""российского закона"""
Новости мира путешествий,/travel/2024/05/04/travel-worlds-cleanest-airports,Только один из самых чистых аэропортов мира находится в Европе
мир,/2024/05/04/orthodox-easter-saturday,Пасха: история и традиции
